auth_id,merchant_id,card_token,auth_amount,auth_ts,auth_date,currency
1,30,tok_00803,13.02,2026-08-02 17:03:00,2026-08-02,USD
2,49,tok_03944,46.8,2026-08-02 15:13:00,2026-08-02,USD
3,25,tok_02337,4.58,2026-08-02 14:27:00,2026-08-02,USD
4,19,tok_00469,36.15,2026-08-02 10:03:00,2026-08-02,USD
5,6,tok_02017,1.93,2026-08-02 18:37:00,2026-08-02,USD
6,37,tok_02574,42.04,2026-08-02 06:15:00,2026-08-02,USD
7,60,tok_04613,37.31,2026-08-02 14:06:00,2026-08-02,USD
8,23,tok_02479,19.31,2026-08-02 17:39:00,2026-08-02,USD
9,36,tok_02167,9.77,2026-08-02 04:07:00,2026-08-02,USD
10,39,tok_02163,12.43,2026-08-02 21:32:00,2026-08-02,USD
11,28,tok_01324,18.25,2026-08-02 08:47:00,2026-08-02,USD
12,57,tok_03025,34.69,2026-08-02 01:37:00,2026-08-02,USD
13,58,tok_02045,8.12,2026-08-02 21:42:00,2026-08-02,USD
14,10,tok_01451,58.05,2026-08-02 05:56:00,2026-08-02,USD
15,43,tok_03134,4.51,2026-08-02 03:55:00,2026-08-02,USD
16,31,tok_02865,2.37,2026-08-02 14:19:00,2026-08-02,USD
17,13,tok_02287,19.74,2026-08-02 02:22:00,2026-08-02,USD
18,57,tok_04888,64.86,2026-08-02 03:27:00,2026-08-02,USD
19,8,tok_00364,16.14,2026-08-02 08:45:00,2026-08-02,USD
20,5,tok_02461,43.16,2026-08-02 03:32:00,2026-08-02,USD
21,36,tok_01426,9.09,2026-08-02 12:39:00,2026-08-02,USD
22,14,tok_02640,18.96,2026-08-02 20:29:00,2026-08-02,USD
23,43,tok_02746,6.53,2026-08-02 20:05:00,2026-08-02,USD
24,13,tok_04716,52.52,2026-08-02 20:12:00,2026-08-02,USD
25,42,tok_04244,42.53,2026-08-02 22:29:00,2026-08-02,USD
26,52,tok_04878,21.84,2026-08-02 17:20:00,2026-08-02,USD
27,58,tok_02272,17.98,2026-08-02 20:49:00,2026-08-02,USD
28,5,tok_02620,37.74,2026-08-02 10:57:00,2026-08-02,USD
29,10,tok_02711,34.49,2026-08-02 13:34:00,2026-08-02,USD
30,50,tok_03117,37.58,2026-08-02 18:30:00,2026-08-02,USD
31,23,tok_04410,14.74,2026-08-02 13:47:00,2026-08-02,USD
32,18,tok_03313,22.15,2026-08-02 10:46:00,2026-08-02,USD
33,2,tok_00223,114.38,2026-08-02 21:05:00,2026-08-02,USD
34,17,tok_02765,19.36,2026-08-02 10:48:00,2026-08-02,USD
35,6,tok_02867,20.44,2026-08-02 01:14:00,2026-08-02,USD
36,13,tok_01035,97.82,2026-08-02 07:30:00,2026-08-02,USD
37,17,tok_00939,40.25,2026-08-02 19:49:00,2026-08-02,USD
38,60,tok_03250,9.98,2026-08-02 12:45:00,2026-08-02,USD
39,50,tok_04637,9.3,2026-08-02 03:50:00,2026-08-02,USD
40,42,tok_00865,4.81,2026-08-02 15:27:00,2026-08-02,USD
41,28,tok_02213,8.62,2026-08-02 20:39:00,2026-08-02,USD
42,53,tok_00710,39.95,2026-08-02 07:17:00,2026-08-02,USD
43,43,tok_01490,20.24,2026-08-02 10:31:00,2026-08-02,USD
44,39,tok_04233,37.68,2026-08-02 00:12:00,2026-08-02,USD
45,16,tok_03672,56.32,2026-08-02 15:50:00,2026-08-02,USD
