settlement_id,auth_id,merchant_id,settled_amount,settled_ts,settled_date,currency
s1,1,30,13.02,2026-08-03 02:59:00,2026-08-03,USD
s2,2,49,46.8,2026-08-05 12:00:00,2026-08-05,USD
s3,3,25,4.44,2026-08-04 04:12:00,2026-08-04,USD
s4,4,19,36.15,2026-08-03 01:32:00,2026-08-03,USD
s5,5,6,0.87,2026-08-03 21:37:00,2026-08-03,USD
s6,6,37,50.45,2026-08-02 14:20:00,2026-08-02,USD
s7,7,60,44.77,2026-08-03 04:59:00,2026-08-03,USD
s8,8,23,19.31,2026-08-04 21:52:00,2026-08-04,USD
s9,9,36,9.77,2026-08-04 08:18:00,2026-08-04,USD
s10,10,39,12.43,2026-08-05 02:40:00,2026-08-05,USD
s11,11,28,18.25,2026-08-04 03:04:00,2026-08-04,USD
s12,12,57,34.69,2026-08-03 09:23:00,2026-08-03,USD
s13,13,58,3.65,2026-08-04 19:47:00,2026-08-04,USD
s14,14,10,81.27,2026-08-03 13:51:00,2026-08-03,USD
s16,16,31,2.8,2026-08-05 00:42:00,2026-08-05,USD
s17,17,13,27.64,2026-08-03 00:07:00,2026-08-03,USD
s18,18,57,29.19,2026-08-04 19:32:00,2026-08-04,USD
s19,19,8,19.05,2026-08-03 11:27:00,2026-08-03,USD
s20,20,5,19.42,2026-08-03 22:18:00,2026-08-03,USD
s21,21,36,9.09,2026-08-03 09:18:00,2026-08-03,USD
s22,22,14,18.39,2026-08-03 23:10:00,2026-08-03,USD
s23,23,43,7.84,2026-08-04 07:51:00,2026-08-04,USD
s24,24,13,23.63,2026-08-03 07:09:00,2026-08-03,USD
s25,25,42,42.53,2026-08-03 14:08:00,2026-08-03,USD
s26,26,52,9.83,2026-08-05 17:28:00,2026-08-05,USD
s27,27,58,21.22,2026-08-03 08:28:00,2026-08-03,USD
s28,28,5,44.53,2026-08-02 12:44:00,2026-08-02,USD
s29,29,10,15.52,2026-08-02 12:57:00,2026-08-02,USD
s31,31,23,17.39,2026-08-04 15:14:00,2026-08-04,USD
s32,32,18,22.15,2026-08-03 19:34:00,2026-08-03,USD
s33,33,2,110.95,2026-08-02 05:03:00,2026-08-02,USD
s34,34,17,8.71,2026-08-03 08:53:00,2026-08-03,USD
s35,35,6,20.44,2026-08-04 00:15:00,2026-08-04,USD
s36,36,13,115.43,2026-08-03 14:44:00,2026-08-03,USD
s37,37,17,40.25,2026-08-07 18:01:00,2026-08-07,USD
s38,38,60,11.78,2026-08-03 03:44:00,2026-08-03,USD
s39,39,50,13.02,2026-08-03 02:32:00,2026-08-03,USD
s40,40,42,4.67,2026-08-03 22:09:00,2026-08-03,USD
s41,41,28,8.36,2026-08-03 14:27:00,2026-08-03,USD
s42,42,53,38.75,2026-08-03 18:39:00,2026-08-03,USD
s43,43,43,28.34,2026-08-04 08:56:00,2026-08-04,USD
s44,44,39,36.55,2026-08-04 17:48:00,2026-08-04,USD
s46,46,19,2.74,2026-08-03 23:35:00,2026-08-03,USD
s47,47,22,16.14,2026-08-03 23:34:00,2026-08-03,USD
s48,48,49,42.32,2026-08-07 03:53:00,2026-08-07,USD
s49,49,13,15.0,2026-08-03 17:18:00,2026-08-03,USD
s50,50,45,37.9,2026-08-03 01:16:00,2026-08-03,USD
s51,51,56,20.22,2026-08-04 04:51:00,2026-08-04,USD
s52,52,37,4.58,2026-08-03 14:58:00,2026-08-03,USD
s53,53,29,11.47,2026-08-03 06:40:00,2026-08-03,USD
s54,54,14,16.02,2026-08-02 22:38:00,2026-08-02,USD
s55,55,31,19.03,2026-08-02 08:50:00,2026-08-02,USD
s56,56,51,52.06,2026-08-03 04:04:00,2026-08-03,USD
s57,57,4,13.98,2026-08-02 22:25:00,2026-08-02,USD
